id,rank,title,release_year,audience,nationality,distributor,score,director,genre,running_time,grade,story,poster_url
145,145,태풍,2005,4094395,한국,씨제이엔터테인먼트,6.09,곽경택,액션,124분,15세 관람가,"타이완 지룽항 북동쪽 220km 지점 해상에서 운항 중이던 한 선박이 해적에게 탈취당하는 사건이 발생한다. 국정원은 탈취당한 배에 위성유도장치인 리시버 키트가 실려있었다는 사실과 그 선박을 탈취한 해적이 북한 출신이라는 정보를 입수하고 비밀요원을 급파한다.

한반도를 날려버리겠다는 일념으로 하루하루를 살아 온 해적 '씬'(장동건)은 리시버 키트를 손에 넣고 이제는 그의 오랜 계획을 실행하려 한다. 20여 년 전, 가족과 함께 남한으로 귀순하려 했으나 중국과의 관계를 우려한 한국 정부의 외면으로 북으로 돌려 보내지던 중 온 가족이 눈 앞에서 몰살당하는 모습을 지켜 본 '씬'은 그 때부터 증오를 키우며 살아온 인물이다. 그의 가슴엔 오직 뿌리깊은 분노와 어릴 적 헤어진 누나 '최명주'(이미연)에 대한 그리움만이 살아있다.

한편 비밀리에 파견된 해군 대위 '강세종'(이정재)은 방콕 등지에서 씬의 흔적을 뒤쫓다 러시아까지 추적망을 좁혀간다. 암시장에서 매춘부로 살아가고 있는 '씬'의 누나 '최명주'를 만난 '세종'은 그들의 기구한 가족사를 알게 되고, 추격을 거듭할수록 '세종'의 마음에는 '씬'에 대한 연민이 자리잡는다. 하지만 삼척 대간첩 작전 중 조국을 위해 전사한 아버지에 대한 아픈 기억을 갖고 있는 '세종'은 자기가 무슨 일을 해야 하는가를 정확하게 알고 있다.

마음은 통하지만 친구가 될 수 없는, 말을 건네기 보다는 총을 먼저 겨눠야 하는…… 적도 친구도 될 수 없는 두 남자의 대결이 시작된다!",https://movie-phinf.pstatic.net/20111222_263/1324562989916mICvG_JPEG/movie_image.jpg
146,146,미이라 3:황제의 무덤,2008,4090795,미국,유니버설픽쳐스인터내셔널 코리아(유),5.69,롭 코헨,모험,111분,12세 관람가,"기원전 221년, 세계를 정복하려던 황제 한은 여사제의 저주에 묶여 미이라로 땅속에 묻힌다. 이후 2천년이 지나 상하이 박물관으로 유물 인수에 착수한 릭 오코넬(브랜든 프레이저)과 그의 가족은 우연히 황제의 무덤을 발견하게 되고, 황제는 미이라의 힘을 이용하려는 세력의 음모에 의해 깨어나게 된다. 분노와 욕망에 사로잡힌 미이라와 그의 테라코타 군사들을 막기 위해 오코넬 가족은 다시 한번 위험한 모험을 시작하게 되는데...",https://movie-phinf.pstatic.net/20120214_142/1329208584383JCgpS_JPEG/movie_image.jpg
147,147,7급 공무원,2009,4088799,한국,롯데쇼핑㈜롯데엔터테인먼트,8.28,신태라,액션,112분,12세 관람가,"여행사 직원으로 위장한 경력 6년차 국가정보원 요원 ‘수지’. 과거는 밝혀도 정체만은 밝힐 수 없는 직업 특성상 남친 ‘재준’에게 조차 거짓말을 밥 먹듯 하다 일방적인 이별을 통보 받는다. 말도 없이 떠나버린 재준에 대한 서운함과 괘씸함에 몸부림 치던 그녀. 3년 뒤, 청소부로 위장한 채 산업 스파이를 쫓던 중 재준과 우연히 다시 마주치게 된다! 국제 회계사가 되어 나타난 재준. 그를 보자 수지의 마음은 다시 흔들리는데…

오랜 연인 수지의 반복되는 수상한 거짓말에 지친 ‘재준’. 한국을 떠난다는 전화 한 통으로 이별을 통보하고 러시아로 유학을 떠난다. 3년 뒤 국제회계사로 신분을 위장하고 국가정보원 해외파트 소속 요원이 되어 돌아온 재준. 깨지기 일쑤, 실수 연발의 신참이지만 의욕만은 넘치는 재준은 현장투입 첫 임무로 러시아 조직을 미행하던 중 우연히 수지와 마주친다! 호텔 청소부가 되어 있는 그녀의 모습이 쇼킹하지만 애틋한 마음만은 여전한데… 속이는 게 임무, 감추는 게 직업인 그들은 '7급 공무원'.",https://movie-phinf.pstatic.net/20111223_119/1324568569252gaHjb_JPEG/movie_image.jpg
148,148,다크 나이트,2008,4087355,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",9.33,크리스토퍼 놀란,액션,152분,15세 관람가,"정의로운 지방 검사 ‘하비 덴트’, ‘짐 고든’ 반장과 함께 범죄 소탕 작전을 펼치며

범죄와 부패로 들끓는 고담시를 지켜나가는 ‘배트맨’



그러던 어느 날, 살아남기 위해 발버둥치던 범죄 조직은 배트맨을 제거하기 위해

광기어린 악당 ‘조커’를 끌어들이고

정체를 알 수 없는 조커의 등장에 고담시 전체가 깊은 혼돈 속으로 빠져든다.



급기야 배트맨을 향한 강한 집착을 드러낸 조커는

그가 시민들 앞에 정체를 밝힐 때까지 매일 새로운 사람들을 죽이겠다 선포하고

배트맨은 사상 최악의 악당 조커를 막기 위해 자신의 모든 것을 내던진 마지막 대결을 준비한다.",https://movie-phinf.pstatic.net/20170608_209/1496886337035SDPLy_JPEG/movie_image.jpg
149,149,색즉시공,2002,4082797,한국,(주)쇼박스,7.18,윤제균,코미디,96분,청소년 관람불가,"군대 제대 후 늦깎이 대학생이 된 은식(임창정 분). 남보다 늦은 출발 때문에 고시 합격에 인생 목표를 건다. 하지만 대학에 들어가자마자 해병대 고참 성국(최성국 분)을 만나게 되고 그의 꾐에 빠져 차력 동아리에 가입하고 만다. 불철주야 공부를 해도 모자랄 판에 웬 차력? 그런데 거기에 또 하나, 그의 꿈을 가로막는 장애가 있었으니.

에어로빅부 은효(하지원 분)를 본 순간 한 눈에 뿅! 가버린 것이다. 이후 그녀 주위를 맴돌며 시선을 끌어보려 하지만 은효는 눈 하나 깜짝 않고, 은식이 가까이 다가가고자 할 때마다 오히려 못 말리는 변태로 오인되는 돌발 사건들만 터진다. 답답한 은식의 마음을 아는지 모르는지 은효는 어느날부터 인가 교내 킹카 상욱(정민 분)과 사랑에 빠지고 만다. 한편 그런 은식의 순수한 사랑과 달리 주변의 파릇파릇한 열혈 청춘들은 울끈 불끈 치솟는 그것의 처리를 위해 좌충우돌 섹스 어드벤쳐를 벌여댄다. 우리의 은식 역시 차력으로 다진 피 끓는 청춘! 몸(?)만 생각한다면 사랑스런 은효를 향해 무대뽀로 돌진하고 싶건만. 아, 그렇게 무지막지 달겨들기엔 너무도 섹시하고 사랑스런 걸(girl)인 걸.",https://movie-phinf.pstatic.net/20111221_132/1324473774319Tty3v_JPEG/movie_image.jpg
150,150,댄싱퀸,2012,4057546,한국,씨제이이앤엠(주),8.87,이석훈,코미디,124분,12세 관람가,"“혹시 가수 해 볼 생각 없어요?”

왕년의 신촌 마돈나 정화 앞에 댄스 가수가 될 일생 일대의 기회가 찾아온다.

하지만 오랜 꿈을 향한 도전의 설렘도 잠시, ‘서울 시장 후보로 출마하게 되었다!’는 남편 정민의 폭탄 선언!

서울 시장 후보의 부인과 화려한 댄싱퀸즈의 리더 사이에서 남편도 모르는 위험천만, 다이나믹한 이중생활이 시작된다?!",https://movie-phinf.pstatic.net/20120111_126/1326265238733Y8yPb_JPEG/movie_image.jpg
151,151,우리 생애 최고의 순간,2008,4044582,한국,(주)싸이더스,8.58,임순례,드라마,124분,전체 관람가,"대한민국 올림픽 2연패의 주역인 최고의 핸드볼 선수 미숙(문소리 분). 그러나 온 몸을 바쳐 뛴 소속팀이 해체되자, 그녀는 인생의 전부였던 핸드볼을 접고 생계를 위해 대형 마트에서 일하게 된다. 이때 일본 프로팀의 잘나가는 감독으로 활약하고 있던 혜경(김정은 분)은 위기에 처한 한국 국가대표팀의 감독대행으로 귀국한다. 팀의 전력을 보강하기 위해 그녀는 자신의 오랜 동료이자 라이벌인 미숙을 비롯한 과거의 영광을 재현할 노장 선수들을 하나 둘 불러모은다.

혜경은 초반부터 강도 높은 훈련으로 전력 강화에 힘쓰지만 그녀의 독선적인 스타일은 개성 강한 신진 선수들과 불화를 야기하고 급기야 노장 선수들과 신진 선수들간의 몸싸움으로까지 번진다. 이에 협회위원장은 선수들과의 불화와 여자라는 점을 문제 삼아 혜경을 감독대행에서 경질시키고 세계적인 스타 플레이어 안승필(엄태웅 분)을 신임 감독으로 임명한다. 무엇보다 자존심이 중요했던 혜경이지만, 미숙의 만류와 일본으로 돌아갈 수도 없는 상황에서 감독이 아닌 선수로 팀에 복귀해 명예 회복에 나선다.

화려했던 선수 생활을 뒤로하고 이제 감독으로의 성공적인 전향을 꿈꾸는 승필. 그는 선수들을 배려하지 않은 과학적인 프로그램과 유럽식 훈련 방식을 무리하게 도입해 한국형 핸드볼이 몸에 익은 노장 선수들과 갈등을 유발하고 오히려 대표팀의 전력마저 저하시킨다. 심지어 혜경과의 갈등으로 미숙 마저 태릉을 떠나버리고 대표팀은 남자고등학생 선수들과의 평가전에서도 졸전을 펼친다.

미숙의 무단이탈을 문제 삼아 엔트리에서 제외하겠다고 공표하는 승필. 안타까운 혜경은 불암산 등반 훈련에서 자신이 먼저 완주하면 미숙의 엔트리 자격 박탈을 철회해 줄 것을 요구한다. 혜경은 미숙을 위해 죽을 힘을 다해 달리고 승필은 그런 그녀에게 지지 않으려고 이를 악물고 뛰는데… 결국 혜경을 비롯한 노장 선수들의 노력으로 미숙은 다시 대표팀에 합류하게 되고, 승필과 신진 선수들도 그녀들의 핸드볼에 대한 근성과 마지막까지 자신들의 꿈에 도전하려는 투지를 인정하게 된다. 마침내 최고의 팀웍으로 뭉친 그들은 다시 한번 세계 재패의 위업을 달성하기 위해 아테네로 향한다.",https://movie-phinf.pstatic.net/20111223_44/1324567143749EUxfp_JPEG/movie_image.jpg
152,152,꾼,2017,4018341,한국,(주)쇼박스,7.62,장창원,범죄,117분,15세 관람가,"대한민국을 발칵 뒤집어 놓은 ‘희대의 사기꾼’ 장두칠이 돌연 사망했다는 뉴스가 발표된다.

그러나 그가 아직 살아있다는 소문과 함께

그를 비호했던 권력자들이 의도적으로 풀어준 거라는 추측이 나돌기 시작한다.



사기꾼만 골라 속이는 사기꾼 지성(현빈)은 장두칠이 아직 살아있다며

사건 담당 검사 박희수(유지태)에게 그를 확실하게 잡자는 제안을 한다.

박검사의 비공식 수사 루트인 사기꾼 3인방 고석동(배성우), 춘자(나나), 김 과장(안세하)까지 합류시켜

잠적한 장두칠의 심복 곽승건(박성웅)에게 접근하기 위한 새로운 판을 짜기 시작한다.



하지만 박검사는 장두칠 검거가 아닌 또 다른 목적을 위해 은밀히 작전을 세우고,

이를 눈치 챈 지성과 다른 꾼들도 서로 속지 않기 위해 각자만의 계획을 세우기 시작하는데…



이 판에선 누구도 믿지 마라!

진짜 ‘꾼’들의 예측불가 팀플레이가 시작된다!",https://movie-phinf.pstatic.net/20171107_251/1510033896133nWqxG_JPEG/movie_image.jpg
153,153,타짜-신의 손,2014,4015361,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)싸이더스",7.26,강형철,드라마,147분,청소년 관람불가,"삼촌 ‘고니’를 닮아 어린 시절부터 남다른 손재주와 승부욕을 보이던 ‘대길’(최승현 분)은 고향을 떠나 서울 강남의 하우스에서 ‘타짜’로 화려하게 데뷔하지만, 한 순간에 모든 것을 잃고 우연히 ‘고니’의 파트너였던 ‘고광렬’(유해진 분)을 만난다. ‘고광렬’과 함께 전국을 유랑하던 ‘대길’은 절대 악의 사채업자 ‘장동식’(곽도원 분)은 물론, 전설의 타짜 ‘아귀’(김윤석 분)까지 ‘타짜’들과 목숨줄이 오가는 한 판 승부를 벌이는데…",https://movie-phinf.pstatic.net/20140819_243/1408432915315hGXts_JPEG/movie_image.jpg
154,154,혹성탈출: 반격의 서막,2014,4002560,미국,이십세기폭스코리아(주),8.53,맷 리브스,액션,130분,12세 관람가,"치명적인 바이러스 그 후 10년, 시저가 이끄는 진화한 유인원들은 자신들의 삶의 터전을 만들고 평화롭게 살아간다. 한편, 바이러스로부터 살아남은 극소수의 인간들은 멸종 위기와 가족을 잃은 고통 속에서 살아간다. 서로의 존재를 잊고 있던 두 종족은 우연히 다시 마주치게 되고, 피할 수 없는 상황 속에서 생존을 건 전쟁을 시작하게 되는데…",https://movie-phinf.pstatic.net/20140704_265/1404455246908QuOGP_JPEG/movie_image.jpg
155,155,해리포터와 비밀의 방,2002,4000000,미국,워너브러더스 코리아(주),8.86,크리스 콜럼버스,판타지,162분,전체 관람가,"해리 포터에겐 이번 여름방학이 별로 즐겁질 못했다. 마법이라면 질색을 하는 페투니아 이모(피오나 쇼 분)와 버논 이모부(리차드 그리피스 분)의 구박도 그렇지만, 무엇보다 속상한 건 단짝이었던 론 위즐리(루퍼트 그린트 분)와 헤르미온느 그레인저(엠마 왓슨 분)가 그 사이 자신을 까맣게 잊었는지 자신의 편지에 답장 한 통 없다는 것.

그러던 어느날 꼬마 집요정 도비가 해리의 침실에 나타나 뜻밖의 얘기를 한다. 호그와트 마법학교로 돌아가면 무서운 일을 당할 거라는 것. 도비는 해리를 학교에 못 가게 하려고 자신이 여태까지 론과 헤르미온느의 답장을 가로채 왔음을 고백한다. 그러나 도비와 더즐리 가족의 방해에도 불구, 해리는 론과 그의 형제들이 타고 온 하늘을 나는 자동차를 타고 이모집을 탈출, 따뜻한 가족애가 넘치는 론 위즐리의 집으로 간다.

개학을 앞두고 학교에 가는 날, 론과 해리는 뭔가의 방해로 9와 3/4 승강장에 못 들어가는 바람에 개학식에 지각할 위기에 처한다. 결국 하늘을 나는 자동차 포드 앵글리아를 타고 천신만고끝에 학교에 도착했으나 공교롭게도 차가 학교 선생님들이 소중히 여기는 '커다란 버드나무' 위에 불시착하는 바람에 화가 난 스네이프 교수로부터 퇴학 경고를 받게 된다. 한편 1학년 때 해리가 보여준 영웅적인 활약상은 학교 전체에 소문이 나고, 그 덕에 해리는 원치 않는 관심의 초점이 된다. 론의 여동생 지니, 사진작가 지망생 콜린 크리비 등의 신입생과 어둠의 마법 방어술을 가르치는 신임 교수 질데로이 록허트가 새롭게 해리포터의 팬이 된다.

남의 시선 끌기를 좋아하는 잘난척하는 성격 탓에 주변에서 따돌림 당하는 록허트 교수는 해리와 친해지고 싶어 안달하지만, 그 역시 학교에서 일어나는 무서운 사건에 대해 뾰족한 설명을 못해준다. 모든 이목은 해리에게 집중되고, 결국 급우들은 해리를 의심하기에 이른다. 물론 론과 헤르미온느, 그리고 수수께끼의 일기장에 마음을 뺏긴 론의 동생 지니만은 끝까지 해리를 믿는다.

자신을 믿는 친구들을 실망시킬 수는 없는 법. 해리는 -도움을 준다며 되려 걸리적 대는 록허트 교수가 다소 방해가 되긴 하지만- 어둠의 세력과 맞서 싸울 결심을 하는데..",https://movie-phinf.pstatic.net/20111222_244/1324530400723IXN6V_JPEG/movie_image.jpg
156,156,쿵푸팬더3,2016,3984812,미국,씨제이이앤엠(주),8.62,여인영,애니메이션,95분,전체 관람가,"어느 날 우연히, 어린 시절 잃어버렸던 진짜 ‘팬더’ 아버지를 만난 ‘포’는 아버지 ‘리’와 함께 팬더들이 어울려 사는 비밀스러운 그 곳, 팬더 마을로 향한다.

자신 못지 않게 여유와 흥 넘치는 팬더들과 즐거운 시간을 보내는 포.

하지만 모든 쿵푸 마스터들을 제압하며 전세계를 위협하는 악당 ‘카이’의 등장으로 포는 예상치 못했던 불가능한 도전에 맞닥뜨리게 된다.

놀기 좋아하고, 먹는 게 행복이며, 덤벙대는 게 특기인 팬더 친구들에게 궁극의 쿵푸를 전수해야 하는 것!



이번엔 쿵푸를 가르쳐야 한다!

쿵푸 훈련법 마스터에 나선 ‘포’, 팬더 인생 최대의 도전이 시작된다!",https://movie-phinf.pstatic.net/20151230_112/1451458570876HklX8_JPEG/movie_image.jpg
157,157,캡틴 아메리카: 윈터 솔져,2014,3963220,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),8.92,조 루소,액션,136분,15세 관람가,"어벤져스의 뉴욕 사건 이후 닉 퓨리, 블랙 위도우와 함께

쉴드의 멤버로 현대 생활에 적응해 살아가는 캡틴 아메리카.



어느 날, 죽은 줄 알았던 친구 버키가

적 윈터 솔져가 되어 돌아오고,

어벤져스를 향한 최악의 위기가 시작된다.",https://movie-phinf.pstatic.net/20140320_56/1395301906218FkBsV_JPEG/movie_image.jpg
158,158,공공의 적 2,2005,3911356,한국,(주)시네마서비스,7.51,강우석,드라마,148분,15세 관람가,"검찰청 최고의 꼴통검사 강철중(설경구 분), 룸싸롱은 주로 쳐들어 가기 위해 자주 들르고 책상머리의 서류철 들여다보기 보다 컵라면 우물거리며 잠복근무가 체질인 그는 나쁜 짓 하는 놈 잡기 위해 부하와 동료의 피를 볼 순 없다는 일념으로 총기류 사용도 마다하지 않는 다혈질 검사다. 그렇지만 어제도 오늘도 그의 하루는 늘 나름대로 스마일~로 시작된다.

그런 그에게 명선 재단 이사장 한상우(정준호 분) 사건이 접수되고 특유의 기질로 나쁜 냄새를 직감한 강검사, 자기 담당도 아닌 사건을 조사하기 시작한다. 명선고교는 다름아닌 강검사의 모교이며 학교 재단 이사장의 둘째 아들인 한상우 또한 자신과 3년 동안 같은 반에서 수학한 동기동창이었던 것. 재단을 물려받기로 되어 있던 명선 재단 큰 아들의 사고로 인해 재단 이사장으로 급부상한 한상우, 때마침 명선 재단 큰 아들이 숨을 거두고 그 죽음에 대한 의문이 제기되면서 강철중 검사의 수사는 큰 파문을 불러 일으킨다. 이에 철중은 조사인의 자격으로 상우를 검찰청에서 마주하게 되는데.",https://movie-phinf.pstatic.net/20111222_45/1324548952997QWvqm_JPEG/movie_image.jpg
159,159,박수건달,2013,3897969,한국,(주)쇼박스,8.09,조진규,코미디,127분,15세 관람가,"보스에게 신임 받고, 동생들에게 사랑 받는 엘리트 건달 광호(박신양).

남 부러울 것 없이 승승장구 하던 그의 건달 인생에 ‘그 분’이 태클을 걸었다?!

호시탐탐 광호를 밟을 기회만 노리던 태주(김정태)의 칼에 맞고 순식간에 바뀐 운명선 때문에

낮에는 박수무당, 밤에는 건달의 투잡족이 되어버린 광호!

하지만 존경하는 보스 가라사대, 쪽 팔리면 건달 아니라 안카나!



하루 아침에 부산을 휘어잡는 건달에서

조선 팔도 최고 ‘신빨’ 날리는 박수무당 되다!",https://movie-phinf.pstatic.net/20121204_164/1354603402996ixgxY_JPEG/movie_image.jpg
160,160,베놈,2018,3888096,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,7.9,루벤 플레셔,액션,107분,15세 관람가,"진실을 위해서라면 몸을 사리지 않는 정의로운 열혈 기자 '에디 브록'

거대 기업 라이프 파운데이션의 뒤를 쫓던 그는

이들의 사무실에 잠입했다가 실험실에서

외계 생물체 '심비오트'의 기습 공격을 받게 된다.



'심비오트'와 공생하게 된 '에디 브록'은

마침내 한층 강력한 '베놈'으로 거듭나고,

악한 존재만을 상대하려는 '에디 브록'의 의지와 달리

'베놈'은 난폭한 힘을 주체하지 못하는데…!



지배할 것인가, 지배당할 것인가",https://movie-phinf.pstatic.net/20180921_296/1537498027382AK7eg_JPEG/movie_image.jpg
161,161,한반도,2006,3880308,한국,씨제이엔터테인먼트,6.35,강우석,드라마,147분,15세 관람가,"남과 북이 통일을 약속하고 그 첫 상징인 경의선 철도 완전 개통식을 추진한다. 그러나 일본은 1907년 대한제국과의 조약을 근거로 개통식을 방해하고 한반도로 유입된 모든 기술과 자본을 철수하겠다며 대한민국 정부를 압박한다.

‘고종의 숨겨진 국새가 있다’는 주장으로 사학계의 이단아 취급을 받아 온 최민재 박사(조재현)는 국새를 찾는다면 일본의 억지 주장을 뒤엎을 수 있다고 확신한다. 그의 확신을 믿게 된 대통령(안성기)은 일본 자위대의 동해상 출현 등으로 비상계엄령을 공표함과 동시에 마침내 ‘국새발굴진상규명위원회’를 구성, 최민재에게 마지막 희망을 거는데…

통일보다는 국가의 안정과 원만한 대일관계에 앞장서 온 총리(문성근)는 말썽만 만들 뿐인 ‘국새’ 소동을 막아야 한다. 결국 측근인 국정원 서기관 이상현(차인표)에게 국새발굴을 방해하고 국새를 찾는다면 그것을 없앨 것과 필요하다면 최민재 또한 제거해도 좋다는 극단의 조치마저 취하는데… 일본의 도발은 거세어지고 끝나지 않은 100년 전의 위기가 되풀이되려 하는데… 국새는 존재하는 것인가? 그렇다면 국새를 찾아야만 하는 것인가?",https://movie-phinf.pstatic.net/20111222_84/1324562591095UcFCp_JPEG/movie_image.jpg
162,162,조선명탐정 : 사라진 놉의 딸,2015,3872015,한국,(주)쇼박스,7.66,김석윤,코미디,125분,12세 관람가,"정조 19년. 한때는 왕의 밀명을 받던 특사였으나

무슨 이유인지 왕에게 미운 털이 박혀 외딴 섬에 유배되어 버린 조선 제일의 명탐정 김민.

찾아오는 이라곤 지난 날 함께 했던 파트너 서필과

매일 같이 동생을 찾아달라며 오는 어린 소녀뿐이다.



그러던 중 김민은 조선 전역에 불량은괴가 유통되고 있다는 소식을 접하게 되고,

이로 인해 잠자고 있던 탐정 본능이 꿈틀거리기 시작한다.

결국 유배지 이탈이라는 초강수를 두며

불량은괴 유통사건과 행방불명 된 소녀의 동생을 찾기 위해 본격 수사에 착수하게 된다.



사상 최초로 동시에 두 사건 해결에 나선 조선 명탐정 김민과 서필!

그러나 정체를 알 수 없는 미모의 여인 히사코로 인해 명콤비의 수사는 더욱 혼선을 빚는다.



과연 이들은 의문의 두 사건을 해결하고, 화려한 옛 영광을 되찾을 수 있을까?



조선 제일의 명탐정 콤비, 김민과 서필이 돌아왔다!

“위기의 조선. 우리에게 한번 더 맡겨보시지요!”",https://movie-phinf.pstatic.net/20150112_87/1421029065463Ajc9k_JPEG/movie_image.jpg
163,163,트로이,2004,3851000,미국,워너브러더스 코리아(주),8.58,볼프강 페터젠,액션,163분,15세 관람가,"{3200년 전, 미세네(Mycenae)의 왕인 아가멤논(Agamemnon)은 전쟁을 통해 그리스 전체를 하나의 왕국으로 통일했다. 오직 데살리(Thessaly)를 제외하고. 아가멤논의 아우인 스파르타(Sparta)의 왕 메네라우스(Menelaus)는 전쟁에 지친 나머지, 그리스 왕국의 최대 라이벌인 트로이(Troy)와의 평화협정을 체결할 방법을 모색하고 있었다. 아킬레스(Achilles)는 그리스 군의 역사상 최강의 전사였지만, 그는 아가멤논의 통치에 따르지 않았고, 아가멤논과 헤어질 기미를 보이고 있었다.}

{사람들은 불멸에 대해 꿈을 꾼다. 그래서 우리는 우리가 시간의 흐름을 넘어, 존재할 수 있을 것인지 자문하곤 한다. 우리가 죽은 다음에도 많은 사람들이 우리의 이름을 들을 수 있을 것인가? 우리가 누구였으며 얼마나 용감하게 싸웠는지, 얼마나 열정적으로 사랑했는 지에 대해 궁금해 할는지도 모른다.}

고대 그리스 시대, 처절한 전투가 한창인 그리스의 데살리(Thessaly, Greece). 가장 잔인하고 불운한 사랑에 빠지고 만 비련의 두 주인공 트로이의 왕자 '파리스'(올란도 블룸)와 스파르타의 왕비 '헬레네'(다이앤 크루거). 사랑에 눈 먼 두 남녀는 트로이로 도주하고, 파리스에게 아내를 빼앗긴 스파르타의 왕 '메넬라오스'(브렌든 글리슨)는 치욕감에 미케네의 왕이자 자신의 형인 '아가멤논'(브라이언 콕스)에게 복수를 부탁한다. 이에 아가멤논은 모든 그리스 도시국가들을 규합해 트로이로부터 헬레네를 되찾기 위한 전쟁을 일으킨다. 그러나 전쟁의 명분은 동생의 복수였지만, 전쟁을 일으킨 진짜 이유는 모든 도시 국가들을 통합하여 거대한 그리스 제국을 건설하려는 야심이었다.

그러나 '프리아모스' 왕(피터 오툴)이 통치하고 용맹스러운 '헥토르' 왕자(에릭 바나)가 지키고 있는 트로이는 그 어떤 군대도 정복한 적이 없는 철통 요새. 트로이 정복의 결정적인 키를 쥐고 있는 것은 바다의 여신 테티스(줄리 크리스티)와 인간인 펠레우스 사이에서 태어난 불세출의 전쟁 영웅 위대한 전사 '아킬레스' (브래드 피트) 뿐. 어린 시절, 어머니 테티스가 그를 불사신으로 만들기 위해 스틱스 강(황천)에 담궜을 때 손으로 붙잡고 있던 발뒤꿈치에는 강물이 묻질 않아 치명적이 급소가 되었지만, 인간 중에는 당할 자가 없을 만큼 초인적인 힘과 무예를 가진 아킬레스는 모든 적국 병사들에게 공포의 대상이었다.

그러나 아킬레스는 전리품으로 얻은 트로이의 여사제 브리세이스(로즈 번)를 아가멤논 왕이 빼앗아가자 몹시 분노해 더 이상 전쟁에 참가하지 않을 것을 선언하고 칩거해버린다. 아킬레스가 전의를 상실하자 연합군은 힘을 잃고 계속 패하게 되고 트로이의 굳게 닫힌 성문은 열릴 줄을 모른다. 결말이 나지 않는 지루한 전쟁이 계속 이어지고 양쪽 병사들이 점차 지쳐갈 때쯤, 이타카의 왕인 지장 오디세우스(숀 빈)가 절묘한 계략을 내놓는다. 그것은 바로 거대한 목마를 이용해 트로이 성을 함락시키자는 것...

{만약 내 이야기가 기록된다면, 나는 거인들과 같이 살았다고 쓰여지길 바란다. 사람들은 쉽게 태어나고 죽지만, 그의 이름은 영원히 살아있으며... 아킬레스는 군사력의 정점인 헥토르와 같은 시대를 살면서 뭇 영웅들과 한 시대를 풍미하며 짧고 굵게 살았다고 써주길 바란다.}ddd",https://movie-phinf.pstatic.net/20111223_298/1324567432552sUS9r_JPEG/movie_image.jpg
164,164,역린,2014,3849433,한국,롯데쇼핑㈜롯데엔터테인먼트,7.07,이재규,드라마,135분,15세 관람가,"인시(寅時) 정각(오전 3시)

‘과인은 사도세자의 아들이다.’ 정조 1년, 끊임없는 암살 위협에 시달리며 밤에도 잠을 이루지 못하는 정조(현빈). 정조가 가장 신임하는 신하 상책(정재영)은 그의 곁을 밤낮으로 그림자처럼 지킨다.



인시(寅時) 반각(오전 4시)

날이 밝아오자 할마마마 정순왕후에게 아침 문안인사를 위해 대왕대비전으로 향하는 정조. 왕의 호위를 담당하는 금위영 대장 홍국영(박성웅)과 상책이 그의 뒤를 따른다.



묘시(卯時) 정각(오전 5시)

‘주상이 다치면 내가 강녕하지 않아요.’ 노론 최고의 수장인 정순왕후(한지민)는 넌지시 자신의 야심을 밝히며 정조에게 경고한다.



묘시(卯時) 반각(오전 6시)

정조의 처소 존현각에는 세답방 나인 월혜(정은채)가 의복을 수거하기 위해 다녀가고, 정조의 어머니 혜경궁(김성령)이 찾아와 ‘지난 밤 꿈자리가 흉했다’며 아들의 안위를 걱정한다.



진시(辰時) 육각(오전 8시 30분)

한편 궐 밖, 조선 최고의 실력을 지닌 살수(조정석)는 오늘 밤 왕의 목을 따오라는 광백(조재현)의 암살 의뢰를 받게 되는데…



왕의 암살을 둘러싸고 살아야 하는 자, 죽여야 하는 자, 살려야 하는 자들의

엇갈린 운명의 24시가 시작된다!",https://movie-phinf.pstatic.net/20140404_158/13965930899877qfjc_JPEG/movie_image.jpg
165,165,남한산성,2017,3849087,한국,씨제이이앤엠(주),8.05,황동혁,드라마,139분,15세 관람가,"1636년 인조 14년 병자호란.

청의 대군이 공격해오자 임금과 조정은 적을 피해 남한산성으로 숨어든다.

추위와 굶주림, 절대적인 군사적 열세 속 청군에 완전히 포위된 상황,

대신들의 의견 또한 첨예하게 맞선다.



순간의 치욕을 견디고 나라와 백성을 지켜야 한다는 이조판서 ‘최명길’(이병헌)과

청의 치욕스런 공격에 끝까지 맞서 싸워 대의를 지켜야 한다는 예조판서 ‘김상헌’(김윤석).

그 사이에서 ‘인조’(박해일)의 번민은 깊어지고, 청의 무리한 요구와 압박은 더욱 거세지는데...



나아갈 곳도 물러설 곳도 없는 고립무원의 남한산성

나라의 운명이 그곳에 갇혔다!",https://movie-phinf.pstatic.net/20171013_225/1507872096788TxEL5_JPEG/movie_image.jpg
